sector,subsector,2024_asset-definition,Data available through,source_id,source_name,source_type,iso3_country,sector,subsector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,capacity,capacity_units,capacity_factor,capacity_factor_units,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
agriculture,crop-residues,crop-residues-gadm-0-1-2,Website downloads,internal_identifier,N/A,,iso3_country_code,agriculture,crop-residues,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Crop residue on soil,Tonnes,Tonnes of [gas] per Tonnes of Crop residue,Total harvested area in the specific area (A),area [ha],Average crop residue on the ground,Tonnes per ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,cropland-fires,cropland_fires_aggregated_area,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,agriculture,cropland-fires,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Cropland area burned,area [ha],t of [gas]  per ha burned,Cropland area in the specific area (A),area [ha],Fraction cropland burned,unitless,Id: level 1 GADM,N/A        ,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,cropland-fires-raster,cropland_fires_grid_25kmx25km,On request,internal_identifier,N/A,,iso3_country_code,agriculture,cropland-fires-raster,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Area of cell,km2,t of [gas]  per km2,Size of cell,km2,1,unitless,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,enteric-fermentation-cattle-operation,confined-animal-facility,Website downloads,internal_identifier,internal_identifier,dairy or beef cattle,iso3_country_code,agriculture,enteric-fermentation-cattle-operation,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total actual number of animals,animal head(s),t of [gas]  per animal head(s),Total potential number of animals,animal head(s),Facility utilization,unitless,Estimated start year for when operation was active and generating emissions,Year,Total head of cattle estimate approach,"floor, ceiling, fill, lnr_model, and reported_capacity",Approach to identify the cattle operation,“ct_syn_ai”: Climate TRACE and RAIC lab ai. ”earthindex”:Earth Index model approach,"Estimated facility size. If blank, no facility size provided",Hectares,Capacity factor,0-1,Death and loss factor,0-1,Original IPCC enteric fermentation emissions factor,kg CH4 head-1 yr-1,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,enteric-fermentation-cattle-pasture,pasture-land-gadm-0-1-2,Website downloads,internal_identifier,internal_identifier,,iso3_country_code,agriculture,enteric-fermentation-cattle-pasture,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total actual number of animals,animal head(s),t of [gas]  per animal head(s),Total potential number of animals,animal head(s),Facility utilization,unitless,,,,,,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,enteric-fermentation-cattle-pasture-raster,pasture-land-grid-10km-by-10km,On request,internal_identifier,internal_identifier,,iso3_country_code,agriculture,enteric-fermentation-cattle-pasture,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total actual number of animals,animal head(s),t of [gas]  per animal head(s),Total potential number of animals,animal head(s),Facility utilization,unitless,,,,,,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,enteric-fermentation-other,enteric-fermentation-other-gadm-0-1-2,Website downloads,internal_identifier,N/A,,iso3_country_code,agriculture,enteric-fermentation-other,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total number of animals,animal head(s),t of [gas]  per animal head(s),Total number of animals,animal head(s),1,unitless,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,manure-applied-to-soils,synthetic-fertilizer-application-crops-aggregated-area,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,agriculture,manure-applied-to-soils,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total nitrogen applied in the area,kg of N,t of [gas]  per kg of N,Total harvested area in the specific area (A),area [ha],Average Nitrogen fertilizer rate,kg of N per ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,manure-left-on-pasture-cattle,pasture-land-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,agriculture,manure-left-on-pasture-cattle,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total number of animals,animal head(s),t of [gas]  per animal head(s),Total potential number of animals,animal head(s),Facility utilization,unitless,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
agriculture,manure-left-on-pasture-cattle-raster,pasture-land-grid-10km-by-10km,On request,internal_identifier,N/A,,iso3_country_code,agriculture,manure-left-on-pasture-cattle,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total number of animals,animal head(s),t of [gas]  per animal head(s),Total potential number of animals,animal head(s),Facility utilization,unitless,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
