asset_id,original_inventory_sector,min_start,max_end,inflated_extrap_emissions,baseline_emissions,inflated_over_baseline_pct
1566424,iron-and-steel,2021-01-01 00:00:00,2024-08-31 00:00:00,3025.334022791837,100357.32730020919,3.01456216917958
1566473,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,24656.78010352135,174764.79617285394,14.108550831446719
1566477,iron-and-steel,2021-01-01 00:00:00,2024-09-30 00:00:00,124065.6634561548,5667421.646708075,2.189102402998697
1566542,iron-and-steel,2021-01-01 00:00:00,2023-08-31 00:00:00,2106271.360748678,9421077.03332525,22.35701240206558
1566555,iron-and-steel,2021-01-01 00:00:00,2025-06-30 00:00:00,165351.52280084553,10787031.687490908,1.5328732462387595
1566559,iron-and-steel,2021-01-01 00:00:00,2025-06-30 00:00:00,40631.783135295016,6053281.824133307,0.6712356093070649
1566564,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,74019.90187730348,161665.58884913565,45.78581156586016
1566566,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,164631.53027034993,988992.3674356439,16.646390375814796
1566578,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,530334.2479174926,1549390.422538648,34.22857403807554
1566580,iron-and-steel,2021-01-01 00:00:00,2024-10-31 00:00:00,272396.27099859196,6057150.515878243,4.497102561419451
1566620,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,1571706.4983364583,9214743.30081981,17.056432795003936
1566669,iron-and-steel,2021-01-01 00:00:00,2023-12-31 00:00:00,145329.69804280548,3960428.5830139024,3.669544722157544
1566670,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,1158235.7852096753,16538340.518949572,7.003337389761523
1566697,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,346768.95760943816,11640587.533093572,2.978964391819506
1566698,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,980434.3021871285,9994672.949930286,9.809568628195754
